fips,name,category,metro
12087,"Monroe County, Florida",none,Nonmetro
12089,"Nassau County, Florida",none,Metro
12091,"Okaloosa County, Florida",none,Metro
12093,"Okeechobee County, Florida",high,Nonmetro
12095,"Orange County, Florida",none,Metro
12097,"Osceola County, Florida",none,Metro
12099,"Palm Beach County, Florida",none,Metro
12101,"Pasco County, Florida",none,Metro
12103,"Pinellas County, Florida",none,Metro
12105,"Polk County, Florida",none,Metro
12107,"Putnam County, Florida",high,Nonmetro
12109,"St. Johns County, Florida",none,Metro
12111,"St. Lucie County, Florida",none,Metro
12113,"Santa Rosa County, Florida",none,Metro
12115,"Sarasota County, Florida",none,Metro
12117,"Seminole County, Florida",none,Metro
12119,"Sumter County, Florida",none,Metro
12121,"Suwannee County, Florida",none,Nonmetro
12123,"Taylor County, Florida",high,Nonmetro
12125,"Union County, Florida",high,Nonmetro
12127,"Volusia County, Florida",none,Metro
12129,"Wakulla County, Florida",none,Metro
12131,"Walton County, Florida",none,Metro
12133,"Washington County, Florida",high,Nonmetro
13001,"Appling County, Georgia",high,Nonmetro
13003,"Atkinson County, Georgia",both,Nonmetro
13005,"Bacon County, Georgia",both,Nonmetro
13007,"Baker County, Georgia",both,Metro
13009,"Baldwin County, Georgia",high,Nonmetro
13011,"Banks County, Georgia",none,Nonmetro
13013,"Barrow County, Georgia",none,Metro
13015,"Bartow County, Georgia",none,Metro
13017,"Ben Hill County, Georgia",both,Nonmetro
13019,"Berrien County, Georgia",high,Nonmetro
13021,"Bibb County, Georgia",high,Metro
13023,"Bleckley County, Georgia",none,Nonmetro
13025,"Brantley County, Georgia",none,Metro
13027,"Brooks County, Georgia",both,Metro
13029,"Bryan County, Georgia",none,Metro
13031,"Bulloch County, Georgia",both,Nonmetro
13033,"Burke County, Georgia",both,Metro
13035,"Butts County, Georgia",high,Metro
13037,"Calhoun County, Georgia",both,Nonmetro
13039,"Camden County, Georgia",none,Nonmetro
13043,"Candler County, Georgia",high,Nonmetro
13045,"Carroll County, Georgia",none,Metro
13047,"Catoosa County, Georgia",none,Metro
13049,"Charlton County, Georgia",high,Nonmetro
13051,"Chatham County, Georgia",none,Metro
13053,"Chattahoochee County, Georgia",none,Metro
13055,"Chattooga County, Georgia",none,Nonmetro
13057,"Cherokee County, Georgia",none,Metro
13059,"Clarke County, Georgia",both,Metro
13061,"Clay County, Georgia",both,Nonmetro
13063,"Clayton County, Georgia",none,Metro
13065,"Clinch County, Georgia",both,Nonmetro
13067,"Cobb County, Georgia",none,Metro
13069,"Coffee County, Georgia",none,Nonmetro
13071,"Colquitt County, Georgia",high,Nonmetro
13073,"Columbia County, Georgia",none,Metro
13075,"Cook County, Georgia",high,Nonmetro
13077,"Coweta County, Georgia",none,Metro
13079,"Crawford County, Georgia",none,Metro
13081,"Crisp County, Georgia",both,Nonmetro
13083,"Dade County, Georgia",none,Metro
13085,"Dawson County, Georgia",none,Metro
13087,"Decatur County, Georgia",both,Nonmetro
13089,"DeKalb County, Georgia",none,Metro
13091,"Dodge County, Georgia",high,Nonmetro
13093,"Dooly County, Georgia",both,Nonmetro
13095,"Dougherty County, Georgia",both,Metro
