TypeofBreach,BreachLocation,Covered Entity Type,Location of Breached Information,Type of Breach,TypeofBreach (group),Individuals Affected,Status,State,Name of Covered Entity,Covered Entity Type (copy),Business Associate Present,Breach Submission Date
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,563,Resolved,CA,Riverside County Regional Medical Center,Healthcare Provider,No,6/24/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,33136,Resolved,CA,Cedars-Sinai Health System,Healthcare Provider,No,9/10/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,7925,Resolved,CA,Riverside County Regional Medical Center,Healthcare Provider,No,1/29/2015
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,69246,Resolved,CA,North East Medical Services (NEMS),Healthcare Provider,No,7/31/2015
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1242,Resolved,CA,"University of California, Los Angeles Health",Healthcare Provider,No,9/1/2015
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,6229,Resolved,CA,"OptumRx, Inc.",Healthcare Provider,No,4/12/2016
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,649,Resolved,CA,"Imperial Valley Family Care Medical Group, APC",Healthcare Provider,No,5/13/2016
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,400000,Resolved,CA,California Correctional Health Care Services,Healthcare Provider,No,5/15/2016
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,2000,Resolved,CA,Brian Halevie-Goldman,Healthcare Provider,No,7/20/2016
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1400,Resolved,CA,U.S. HealthWorks,Healthcare Provider,No,9/9/2016
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,3594,Resolved,CA,Childrens Hospital of Los Angeles,Healthcare Provider,No,1/13/2017
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,3358,Resolved,CA,Wonderful Center For Health Innovation,Healthcare Provider,No,1/20/2017
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,548,Resolved,CA,Bay Area Pain and Wellness Center,Healthcare Provider,No,6/14/2017
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,3202,Resolved,CA,"Steven Yang, D.D.S., INC.",Healthcare Provider,No,1/26/2018
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,2640,Resolved,CA,"Milligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group",Healthcare Provider,No,3/30/2018
Theft,Other Portable E-Device,Healthcare Provider,"Laptop, Other Portable Electronic Device",Theft,Other,726,Resolved,CA,Vibrant Body Wellness,Healthcare Provider,No,3/11/2016
Theft,Other Portable E-Device,Healthcare Provider,"Laptop, Other Portable Electronic Device",Theft,Other,754,Resolved,CA,Sharp Memorial Hospital,Healthcare Provider,No,2/28/2017
Theft,Paper/Films,Healthcare Provider,"Laptop, Other Portable Electronic Device, Paper/Films",Theft,Other,2855,Resolved,CA,"Murali Menon, Privacy Manager Breach",Healthcare Provider,No,12/30/2014
Theft,Paper/Films,Healthcare Provider,"Laptop, Paper/Films",Theft,Other,3553,Resolved,CA,"University of California, San Francisco",Healthcare Provider,No,10/3/2013
Theft,Paper/Films,Healthcare Provider,"Laptop, Paper/Films",Theft,Other,8294,Resolved,CA,"University of California, San Francisco",Healthcare Provider,No,11/22/2013
Theft,Paper/Films,Healthcare Provider,"Laptop, Paper/Films",Theft,Other,2263,Resolved,CA,California Pacific Orthopaedics and Sports Medicine,Healthcare Provider,No,6/30/2017
Theft,Paper/Films,Healthcare Provider,"Laptop, Paper/Films",Theft,Other,1303,Resolved,CA,Sutter Valley Medical Foundation d/b/a Sutter Medical Foundation,Healthcare Provider,No,11/22/2017
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,3500,Resolved,CA,Advanced NeuroSpinal Care,Healthcare Provider,No,2/23/2010
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,40000,Resolved,CA,Silicon Valley Eyecare Optometry and Contact Lenses,Healthcare Provider,No,5/13/2010
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,961,Resolved,CA,SHIELDS For Families,Healthcare Provider,No,4/26/2012
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,13177,Resolved,CA,Loi Luu,Healthcare Provider,No,11/14/2014
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,30000,Resolved,CA,REEVE-WOODS EYE CENTER,Healthcare Provider,No,11/15/2014
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,3224,Resolved,CA,"Cathrine Steinborn, DDS",Healthcare Provider,No,2/27/2015
Theft,Network Server,Healthcare Provider,"Network Server, Other",Theft,Other,6871,Resolved,CA,Fred Finch Youth Center,Healthcare Provider,No,6/5/2015
Theft,,Healthcare Provider,Other,Theft,Other,596,Resolved,CA,Kern Medical Center,Healthcare Provider,No,12/10/2009
Theft,,Healthcare Provider,Other,Theft,Other,1900,Resolved,CA,West Dermatology,Healthcare Provider,No,5/18/2012
Theft,,Healthcare Provider,Other,Theft,Other,1863,Resolved,CA,Graybill Medical Group,Healthcare Provider,No,10/15/2014
Theft,,Healthcare Provider,Other,Theft,Other,2500,Resolved,CA,San Franciso General Hospital and Trauma Center,Healthcare Provider,No,3/6/2015
Theft,,Healthcare Provider,Other,Theft,Other,1787,Resolved,CA,American Sleep Medicine,Healthcare Provider,No,4/16/2015
Theft,,Healthcare Provider,Other,Theft,Other,4262,Resolved,CA,Napa Valley Dentistry,Healthcare Provider,No,10/5/2016
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,4676,Resolved,CA,"Min Yi, M.D.",Healthcare Provider,No,2/5/2014
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,5499,Resolved,CA,"Palomar Health, Privacy Manager Breach",Healthcare Provider,No,3/28/2014
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,33702,Resolved,CA,"Santa Rosa Memorial Hospital, Privacy Manager Breach",Healthcare Provider,No,6/13/2014
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,1025,Resolved,CA,John E. Gonzalez DDS,Healthcare Provider,No,8/14/2016
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,18637,Resolved,CA,Pacific Ocean Pediatrics,Healthcare Provider,No,5/15/2017
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,758,Resolved,CA,"David S. Ng, O.D.",Healthcare Provider,No,6/16/2018
Theft,Other Portable E-Device,Healthcare Provider,"Other, Other Portable Electronic Device",Theft,Other,15500,Resolved,CA,Kaiser Permanente Medical Care Program,Healthcare Provider,No,1/12/2010
Theft,Other Portable E-Device,Healthcare Provider,"Other, Other Portable Electronic Device",Theft,Other,1250,Resolved,CA,California Therapy Solutions,Healthcare Provider,No,12/22/2010
Theft,Other Portable E-Device,Healthcare Provider,"Other, Other Portable Electronic Device",Theft,Other,2761,Resolved,CA,UCLA Health System,Healthcare Provider,No,11/4/2011
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,33000,Resolved,CA,County of Los Angeles,Healthcare Provider,No,9/17/2010
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1800,Resolved,CA,"Muir Orthopaedic Specialists, A Medical Group Inc.",Healthcare Provider,No,9/7/2011
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1431,Resolved,CA,Kern Medical Center,Healthcare Provider,No,3/12/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,712,Resolved,CA,St. Joseph's Medical Center,Healthcare Provider,No,3/29/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,745,Resolved,CA,Physician's Automated Laboratory,Healthcare Provider,No,5/23/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,500,Resolved,CA,Tri-City Medical Center,Healthcare Provider,No,8/18/2014
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,826,Resolved,CA,PIH Health Hospital - Whittier,Healthcare Provider,No,4/2/2015
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,880,Resolved,CA,County of Los Angeles,Healthcare Provider,No,4/29/2015
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1300,Resolved,CA,"Michael Benjamin, M.D., Inc.",Healthcare Provider,No,12/28/2015
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,743,Resolved,CA,County of Los Angeles,Healthcare Provider,No,8/30/2016
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,2013,Resolved,CA,"Stephen J. Helvie, M.D.",Healthcare Provider,No,12/22/2016
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,500,Resolved,CA,Office of Dr. David Elbaum,Healthcare Provider,No,1/9/2017
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1424,Resolved,CA,inSite Digestive Health Care,Healthcare Provider,No,3/9/2018
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1500,Resolved,CO,Janna Benkelman LPC LLC,Healthcare Provider,No,9/3/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,750,Resolved,CO,"Colorado Neurodiagnostics, PLLC",Healthcare Provider,No,6/23/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,523,Resolved,CO,Madison Street Provider Network,Healthcare Provider,No,9/26/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,5000,Resolved,CO,Pediatric Gastroenterology Consultants,Healthcare Provider,No,12/19/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,909,Resolved,CO,Rocky Mountain Health Care Services,Healthcare Provider,No,11/16/2017
Theft,,Healthcare Provider,Other,Theft,Other,2500,Resolved,CO,Aspen Dental Care P.C.,Healthcare Provider,No,10/26/2010
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,18790,Resolved,CO,"Durango Family Medicine, P.C.",Healthcare Provider,No,6/6/2017
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,649,Resolved,CO,VA Eastern Colorado Health Care System,Healthcare Provider,No,5/5/2010
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,546,Resolved,CO,Jefferson Center for Mental Health,Healthcare Provider,No,2/7/2011
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,703,Resolved,CO,"Vision Care Specialists, Inc.",Healthcare Provider,No,7/20/2017
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,925,Resolved,CT,Independence Physical Therapy,Healthcare Provider,No,5/25/2012
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,1749,Resolved,CT,Robbins Eye Center PC,Healthcare Provider,No,11/28/2012
Theft,Desktop Computer,Healthcare Provider,"Desktop Computer, Laptop",Theft,Other,6000,Resolved,CT,Southwest Community Health Center,Healthcare Provider,No,6/7/2017
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,54165,Resolved,CT,"Praxair Healthcare Services, Inc. (Home Care Supply in NY)",Healthcare Provider,No,4/19/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1000,Resolved,CT,Yale University,Healthcare Provider,No,8/18/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,12000,Resolved,CT,VNA of Southeastern Ct.,Healthcare Provider,No,11/11/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,7461,Resolved,CT,VNA Health Care Hartford Hospital,Healthcare Provider,No,7/31/2012
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,2722,Resolved,CT,"United Seating and Mobility, LLC d/b/a Numotion",Healthcare Provider,No,6/10/2015
Theft,Other Portable E-Device,Healthcare Provider,"Laptop, Other Portable Electronic Device",Theft,Other,5827,Resolved,CT,"BHcare, Inc",Healthcare Provider,No,9/14/2012
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,14511,Resolved,CT,"Soundental Associates, PC",Healthcare Provider,No,11/21/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,858,Resolved,CT,Saint Francis Hospital and Medical Center,Healthcare Provider,No,1/16/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,722,Resolved,DC,Children’s National Medical Center,Healthcare Provider,No,3/30/2018
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1062,Resolved,DC,Washington DC VA Medical Center,Healthcare Provider,No,5/31/2016
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,8000,Resolved,FL,Cardiology Consultants/Baptist Health Care Corporation,Healthcare Provider,No,2/18/2010
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,710,Resolved,FL,"GEO Care, LLC",Healthcare Provider,No,7/19/2013
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,948,Resolved,FL,Aventura Hospital and Medical Center,Healthcare Provider,No,8/26/2014
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,7976,Resolved,FL,Brevard Physician Associates,Healthcare Provider,No,10/24/2017
Theft,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Theft,Other,1670,Resolved,FL,Smile Designs,Healthcare Provider,No,1/6/2012
Theft,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Theft,Other,7888,Resolved,FL,"Jessie Trice Community Health Center, Inc.",Healthcare Provider,No,11/3/2014
Theft,Desktop Computer,Healthcare Provider,"Desktop Computer, Other Portable Electronic Device",Theft,Other,2000,Resolved,FL,"Pointe Medical Services, Inc.",Healthcare Provider,No,4/1/2016
Theft,Paper/Films,Healthcare Provider,"Desktop Computer, Paper/Films",Theft,Other,628,Resolved,FL,Mount Sinai Medical Center,Healthcare Provider,No,3/15/2013
Theft,EMR,Healthcare Provider,Electronic Medical Record,Theft,Other,105646,Resolved,FL,Memorial Healthcare System,Healthcare Provider,No,8/16/2012
Theft,EMR,Healthcare Provider,Electronic Medical Record,Theft,Other,2560,Resolved,FL,Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center,Healthcare Provider,No,11/5/2012
Theft,EMR,Healthcare Provider,Electronic Medical Record,Theft,Other,1025,Resolved,FL,"Shands Jacksonville Medical Center, Inc.",Healthcare Provider,No,4/2/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,12580,Resolved,FL,Shands at UF,Healthcare Provider,No,3/1/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,2600,Resolved,FL,Mount Sinai Medical Center,Healthcare Provider,No,3/23/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,2200,Resolved,FL,Friendship Center Dental Office,Healthcare Provider,No,1/11/2011
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,500,Resolved,FL,LANA MEDICAL CARE,Healthcare Provider,No,8/28/2012
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1200,Resolved,FL,"Intervention Services, Inc.",Healthcare Provider,No,2/7/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,12299,Resolved,FL,"United HomeCare Services, Inc.",Healthcare Provider,No,3/9/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,900,Resolved,FL,"South Florida Neurology Associates, P.A.",Healthcare Provider,No,7/3/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,506,Resolved,FL,"Success 4 Kids & Families, Inc.",Healthcare Provider,No,5/20/2015
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,3906,Resolved,FL,RMA Medical Centers of Florida,Healthcare Provider,No,4/7/2016
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,500,Resolved,FL,Clinical Pathology Laboratories Southeast,Healthcare Provider,No,11/17/2017
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,156000,Resolved,FL,"Ankle + Foot Center of Tampa Bay, Inc.",Healthcare Provider,No,1/3/2011
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,2900,Resolved,FL,"Julie A. Kennedy, D.M.D., P.A.",Healthcare Provider,No,10/31/2011
Theft,Network Server,Healthcare Provider,Network Server,Theft,Other,3500,Resolved,FL,"Multilingual Psychotherapy Centers, Inc",Healthcare Provider,No,10/28/2014
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,1219,Resolved,FL,University of Miami,Healthcare Provider,No,1/30/2012
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,2557,Resolved,FL,"Metcare of Florida, Inc.",Healthcare Provider,No,6/4/2012
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,1175,Resolved,FL,"Heartland Pathology Associates, P.A.",Healthcare Provider,No,8/15/2012
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,915,Resolved,FL,Dermatology Associates of Tallahassee,Healthcare Provider,No,9/12/2013
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,1086,Resolved,FL,Nova Southeastern University,Healthcare Provider,No,5/2/2017
Theft,Paper/Films,Healthcare Provider,"Other, Paper/Films",Theft,Other,8000,Resolved,FL,CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,Healthcare Provider,No,5/11/2011
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,568,Resolved,FL,Miami VA Healthcare System,Healthcare Provider,No,5/5/2010
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1500,Resolved,FL,Holy Cross Hospital,Healthcare Provider,No,11/16/2010
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,2200,Resolved,FL,"Brevard Emergency Services, P.A.",Healthcare Provider,No,10/25/2011
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,750,Resolved,FL,"TLC Dental Dania, LLC",Healthcare Provider,No,4/23/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1409,Resolved,FL,"Gessler Clinic, P.A.",Healthcare Provider,No,6/14/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,4907,Resolved,FL,"Coastal Behavioral Healthcare, Inc.",Healthcare Provider,No,12/7/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,5200,Resolved,FL,Jacksonville Spine Center,Healthcare Provider,No,6/24/2013
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,13000,Resolved,FL,"Pediatric Gastroenterology, Hepatology & Nutrition of Florida, P.A.",Healthcare Provider,No,8/24/2015
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1457,Resolved,FL,Elite Imaging,Healthcare Provider,No,1/4/2016
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,648,Resolved,FL,Lake Pulmonary Critical Care PA,Healthcare Provider,No,4/20/2016
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,648,Resolved,FL,Lake Pulmonary Critical PA,Healthcare Provider,No,4/20/2016
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,2500,Resolved,FL,"Access Health Care Physicians, LLC",Healthcare Provider,No,7/19/2016
Theft,Paper/Films,Healthcare Provider,"Electronic Medical Record, Paper/Films",Theft,Other,12937,Resolved,GA,"Phoebe Putney Memorial Hospital, Inc.",Healthcare Provider,No,5/24/2012
Theft,Paper/Films,Healthcare Provider,"Electronic Medical Record, Paper/Films",Theft,Other,12937,Resolved,GA,Phoebe Putney Memorial Hospital,Healthcare Provider,No,1/7/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,863,Resolved,GA,"Diversified Resources, Inc.",Healthcare Provider,No,9/15/2011
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,17000,Resolved,GA,Roberts S. Smith M.D. Inc.,Healthcare Provider,No,12/13/2011
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,513,Resolved,GA,Georgia Health Sciences University,Healthcare Provider,No,3/15/2012
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,4000,Resolved,GA,Tricounty Behavioral Health Clinic,Healthcare Provider,No,8/31/2012
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1819,Resolved,GA,Heyman HospiceCare at Floyd,Healthcare Provider,No,2/15/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,3000,Resolved,GA,"WOMENS HEALTH ENTERPRISE, INC.",Healthcare Provider,No,2/27/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1300,Resolved,GA,UHS-Pruitt Corporation,Healthcare Provider,No,11/15/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,4500,Resolved,GA,PruittHealth Corporation,Healthcare Provider,No,12/6/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,841,Resolved,GA,PruittHealth Pharmacy Services,Healthcare Provider,No,2/7/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,3397,Resolved,GA,Region Six of the Georgia Department of Behavioral Health and Developmental Disabilities,Healthcare Provider,No,10/9/2014
Theft,,Healthcare Provider,Other,Theft,Other,3440,Resolved,GA,"Coastal home Respiratory, LLP",Healthcare Provider,No,10/18/2012
Theft,Other Portable E-Device,Healthcare Provider,"Other, Other Portable Electronic Device",Theft,Other,63425,Resolved,GA,The Neurological Institute of Savannah & Center for Spine,Healthcare Provider,No,8/15/2011
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,7500,Resolved,GA,"DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",Healthcare Provider,No,7/15/2011
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1306,Resolved,GA,"James M. McGee, D.M.D., P.C.",Healthcare Provider,No,11/27/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,2350,Resolved,GA,Specialty Clinics Of Georgia - Orthopaedics,Healthcare Provider,No,8/25/2014
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1000,Resolved,GA,Martin Army Community Hospital,Healthcare Provider,No,9/9/2016
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1298,Resolved,IA,Visiting Nurse Services of Iowa,Healthcare Provider,No,7/16/2012
Theft,Other Portable E-Device,Healthcare Provider,Other Portable Electronic Device,Theft,Other,6900,Resolved,ID,Larsen Dental Care LLC,Healthcare Provider,No,4/18/2014
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,556,Resolved,IL,Cook County Health & Hospitals System,Healthcare Provider,No,12/17/2010
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,4029530,Resolved,IL,"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",Healthcare Provider,No,8/23/2013
Theft,Network Server,Healthcare Provider,"Desktop Computer, Network Server",Theft,Other,2000,Resolved,IL,"HEALTH RESEARCH INSTITUTE, INC., PFEIFFER TREATMENT CENTER",Healthcare Provider,No,8/29/2011
Theft,Desktop Computer,Healthcare Provider,"Desktop Computer, Other",Theft,Other,501,Resolved,IL,Riverside Medical Center,Healthcare Provider,No,4/20/2018
Theft,Paper/Films,Healthcare Provider,"Desktop Computer, Paper/Films",Theft,Other,540,Resolved,IL,Walgreen Co.,Healthcare Provider,No,6/6/2014
Theft,EMR,Healthcare Provider,Electronic Medical Record,Theft,Other,12542,Resolved,IL,Kmart Corporation,Healthcare Provider,No,4/3/2013
Theft,EMR,Healthcare Provider,"Electronic Medical Record, Other",Theft,Other,16446,Resolved,IL,Kmart Corporation,Healthcare Provider,No,2/10/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,812,Resolved,IL,Advocate Health Care,Healthcare Provider,No,1/22/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1000,Resolved,IL,Rainbow Hospice and Palliative Care,Healthcare Provider,No,5/26/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,7081,Resolved,IL,Cook County Health & Hospitals System,Healthcare Provider,No,8/20/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,2237,Resolved,IL,Advocate Health and Hospitals Corporation,Healthcare Provider,No,11/1/2013
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,982,Resolved,IL,Midwest Urological Group,Healthcare Provider,No,7/30/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,13646,Resolved,IL,Dennis Flynn MD,Healthcare Provider,No,8/19/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,2813,Resolved,IL,Northwestern Memorial HealthCare,Healthcare Provider,No,12/23/2014
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,3000,Resolved,IL,University of Illinois at Chicago,Healthcare Provider,No,4/28/2015
Theft,Laptop,Healthcare Provider,"Laptop, Other",Theft,Other,1009,Resolved,IL,"Barrington Orthopedic Specialists, Ltd",Healthcare Provider,No,9/24/2015
Theft,Other Portable E-Device,Healthcare Provider,"Laptop, Other Portable Electronic Device",Theft,Other,4211,Resolved,IL,Northwestern Memorial Hospital,Healthcare Provider,No,7/27/2012
Theft,Other Portable E-Device,Healthcare Provider,"Laptop, Other Portable Electronic Device",Theft,Other,1000,Resolved,IL,Stoetzel's Planet Chiropractic,Healthcare Provider,No,3/25/2014
Theft,,Healthcare Provider,Other,Theft,Other,1349,Resolved,IL,Freeport Memorial Hospital,Healthcare Provider,No,2/26/2016
Theft,,Healthcare Provider,Other,Theft,Other,910,Resolved,IL,Walgreen Co.,Healthcare Provider,No,4/6/2018
Theft,Paper/Films,Healthcare Provider,"Other, Paper/Films",Theft,Other,1300,Resolved,IL,Carle Clinic Association,Healthcare Provider,No,1/28/2010
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1500,Resolved,IL,SwedishAmerican Health System,Healthcare Provider,No,7/12/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1240,Resolved,IL,Walgreen Co.,Healthcare Provider,No,7/30/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,1500,Resolved,IL,SwedishAmerican Health System,Healthcare Provider,No,10/26/2012
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,880,Resolved,IL,Walgreen Co.,Healthcare Provider,No,3/4/2016
Theft,Paper/Films,Healthcare Provider,Paper/Films,Theft,Other,703,Resolved,IL,Walgreen Co.,Healthcare Provider,No,4/27/2018
Theft,Desktop Computer,Healthcare Provider,Desktop Computer,Theft,Other,1500,Resolved,IN,Jones Chiropractic and Maximum Health,Healthcare Provider,No,11/26/2013
Theft,Desktop Computer,Healthcare Provider,"Desktop Computer, Laptop",Theft,Other,2000,Resolved,IN,Ault Chiropractic Center,Healthcare Provider,No,9/15/2010
Theft,Desktop Computer,Healthcare Provider,"Desktop Computer, Laptop",Theft,Other,1697,Resolved,IN,"Indiana Health Centers, Inc.",Healthcare Provider,No,9/12/2017
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,1199,Resolved,IN,"St. Vincent Hospital and Health Care Center, Inc.",Healthcare Provider,No,9/23/2010
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,22001,Resolved,IN,Reid Hospital & Health Care Services,Healthcare Provider,No,5/6/2011
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,3266,Resolved,IN,Indiana University,Healthcare Provider,No,10/4/2011
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,20000,Resolved,IN,Indiana Internal Medicine Consultants,Healthcare Provider,No,3/9/2012
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,28893,Resolved,IN,Gibson General Hospital,Healthcare Provider,No,12/26/2012
Theft,Laptop,Healthcare Provider,Laptop,Theft,Other,10350,Resolved,IN,Indiana University Health Arnett,Healthcare Provider,No,5/13/2013
